stop_lat,stop_lon,stop_id,parent_station,stop_name,location_type
35.655376,-5.319315,node/8197477238,,Colinord,0
35.659783,-5.318902,node/8197477239,,Jamae,0
35.555249,-5.376743,node/8171402908,,Saf Al Hamam 2,0
35.569565,-5.420434,node/8171402909,,Torreta,0
35.640204,-5.323234,node/8171402906,,El Filaha,0
35.559767,-5.436430,node/8171402907,,Dechrien,0
35.434660,-5.391190,node/8171402904,,Enissar Joue,0
35.556230,-5.416300,node/8171402905,,Tamuda,0
35.573727,-5.402497,node/8171402902,,Mosquée El Aela,0
35.482558,-5.411590,node/8171402903,,El Ksab,0
35.564925,-5.420797,node/8171402900,,Louziyen,0
35.567701,-5.336648,node/8171402901,,El Manar,0
35.571735,-5.358860,node/6897145456,,Abdelkhalek Torres - Esso,0
35.548441,-5.371806,node/8197188244,,Bouanane,0
35.550748,-5.363612,node/8197188240,,Mgaz Lhjar 1,0
35.552356,-5.365564,node/8197188241,,Mgaz Lhjar 2,0
35.550300,-5.369056,node/8197188242,,Torreta,0
35.548426,-5.371899,node/8197188243,,Bouanane,0
35.548041,-5.423081,node/8197425134,,Borojo,0
35.532064,-5.428664,node/8197425135,,Dar El Khayat,0
35.503819,-5.435828,node/8197425136,,El Akba,0
35.497353,-5.434183,node/8197425137,,Aboudi,0
35.495098,-5.428438,node/8197425138,,Ain Aicha,0
35.491718,-5.423662,node/8197425139,,Ben Dakoo,0
35.577116,-5.362675,node/8188220753,,Souk Ziana,0
35.636839,-5.324360,node/8197477234,,Rayhana,0
35.575549,-5.408550,node/6898562579,,Résidence El Wikaya,0
35.640414,-5.323393,node/8197477235,,El Filaha,0
35.726499,-5.340236,node/8197552108,,Kabila 2,0
35.586204,-5.337336,node/6907296517,,Ecole Mohamed Aziman,0
35.645107,-5.322143,node/8197477236,,Campo,0
35.735799,-5.342122,node/8197552109,,Sania,0
35.649966,-5.320841,node/8197477237,,Ghniwat,0
35.580984,-5.353034,node/6900317725,,Avenue Des Far - Safir,0
35.626170,-5.331380,node/6900317724,,Mandi,0
35.626566,-5.341542,node/6900317722,,Mallalienne,0
35.631006,-5.325957,node/8197477233,,Sdouki,0
35.448285,-5.093499,node/8242995661,,Brigade-Gendarmerie,0
35.566334,-5.366534,node/8242995663,,Ancienne Gare,0
35.448363,-5.093653,node/8242995662,,Brigade-Gendarmerie,0
35.593188,-5.332191,node/6904040653,,I.T.A,0
35.569302,-5.382160,node/6899235256,,Clinique Nakhil,0
35.556821,-5.404320,node/6903918966,,Lafarge,0
35.553101,-5.360102,node/8171441749,,Jamaat Zitoune,0
35.821607,-5.353755,node/8171441748,,Rifiyenne,0
35.573529,-5.379548,node/6903993083,,Diour Lahjar,0
35.559311,-5.461384,node/8171441740,,Trik,0
35.439914,-5.391070,node/8171441743,,Café Ayad,0
35.456710,-5.095850,node/8171441742,,Café Dakhla,0
35.556241,-5.392253,node/8171441745,,Zariaa,0
35.574980,-5.391325,node/8171441744,,Snack Loujdi,0
35.553203,-5.399034,node/8171441747,,Amina Bent Wahab,0
35.574463,-5.383343,node/6903993084,,Souk El Fahm,0
35.612241,-5.287572,node/6897145301,,Chonbira,0
35.624908,-5.327287,node/6900317866,,Rp El Mallalienne,0
35.507641,-5.425515,node/6899183589,,Beni Karrich,0
35.578908,-5.349217,node/6907371680,,Pharmacie Afassi,0
35.632450,-5.500783,node/6898279984,,Zouada,0
35.580995,-5.360672,node/8171402889,,Haj Mohamed Bennouna 1,0
35.576610,-5.340760,node/8171402888,,Nada,0
35.613189,-5.332723,node/8171402887,,Koudia,0
35.564810,-5.347428,node/8171402886,,Grt Coelma,0
35.607790,-5.297490,node/8171402885,,Oum Keltoum,0
35.807390,-5.352609,node/8171402884,,Fadesa,0
35.637019,-5.324041,node/8171402883,,Rayhana,0
35.571589,-5.418826,node/8171402882,,Nassim,0
35.841309,-5.354975,node/8171402881,,Fnideq,0
35.532034,-5.428877,node/8171402880,,Dar El Khayat,0
35.567478,-5.365786,node/6903988259,,Casa Bloque,0
35.550347,-5.369092,node/6903988254,,Torreta,0
35.598447,-5.481881,node/8196766607,,Lafarge,0
35.593743,-5.477583,node/8196766606,,Bounazzal 2,0
35.590860,-5.475178,node/8196766605,,Bounazzal 1,0
35.583624,-5.470700,node/8196766604,,Piste Lawta,0
35.573931,-5.466853,node/8196766603,,Usine De Carreaux,0
35.596147,-5.328553,node/8188220747,,Cité Universitaire,0
35.565462,-5.461584,node/8196766601,,Maison Renault,0
35.591093,-5.334134,node/8188220745,,Aéroport,0
35.574079,-5.348790,node/6897145541,,Terrain Saniat Rmel,0
35.592358,-5.339615,node/8188220749,,Mohamed El Yazidi,0
35.612471,-5.492895,node/8196766609,,Machachates,0
35.604676,-5.484319,node/8196766608,,Rwida,0
